id	domain_name	start	end	evalue	score	description
LC583583.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/32/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583583.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/32/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583583.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/32/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00024	21.3	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583583.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/32/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583583.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/32/2019_gene_for_polyprotein	ResIII	1800	1943	0.0005	20.3	Type III restriction enzyme, res subunit
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	7.8e-168	558.3	Pestivirus envelope glycoprotein E2
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.5e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.8e-96	319.8	Pestivirus NS2 peptidase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Peptidase_C53	0	168	1.7e-81	272.1	Pestivirus Npro endopeptidase C53
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	1.7e-81	272.1	Pestivirus Npro endopeptidase C53
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583584.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/33/2019_gene_for_polyprotein	ResIII	1800	1943	0.00053	20.2	Type III restriction enzyme, res subunit
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	7.8e-168	558.3	Pestivirus envelope glycoprotein E2
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.5e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.8e-96	319.9	Pestivirus NS2 peptidase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Peptidase_C53	0	168	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583585.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/34/2019_gene_for_polyprotein	ResIII	1800	1943	0.00053	20.2	Type III restriction enzyme, res subunit
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	7.8e-168	558.3	Pestivirus envelope glycoprotein E2
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.6e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.7e-96	319.9	Pestivirus NS2 peptidase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Peptidase_C53	0	168	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.4	Viral RNA-dependent RNA polymerase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583586.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/35/2019_gene_for_polyprotein	ResIII	1800	1943	0.00053	20.2	Type III restriction enzyme, res subunit
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	7.7e-168	558.3	Pestivirus envelope glycoprotein E2
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.6e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.8e-96	319.9	Pestivirus NS2 peptidase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Peptidase_C53	0	168	2e-81	271.9	Pestivirus Npro endopeptidase C53
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	2e-81	271.9	Pestivirus Npro endopeptidase C53
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583587.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/36/2019_gene_for_polyprotein	ResIII	1800	1943	0.00054	20.2	Type III restriction enzyme, res subunit
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	6.2e-167	555.4	Pestivirus envelope glycoprotein E2
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.6e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.8e-96	319.8	Pestivirus NS2 peptidase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Peptidase_C53	0	168	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583588.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/37/2019_gene_for_polyprotein	ResIII	1800	1943	0.00054	20.2	Type III restriction enzyme, res subunit
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	9e-168	558.1	Pestivirus envelope glycoprotein E2
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.5e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.8e-96	319.9	Pestivirus NS2 peptidase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Peptidase_C53	0	168	1.7e-81	272.1	Pestivirus Npro endopeptidase C53
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	1.7e-81	272.1	Pestivirus Npro endopeptidase C53
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.3e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	5.3e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	1e-09	38.8	Flavivirus DEAD domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	1e-09	38.8	Flavivirus DEAD domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	DEAD	1812	1946	1.3e-09	38.2	DEAD/DEAH box helicase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	DEAD	1984	2041	1.3e-09	38.2	DEAD/DEAH box helicase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583589.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/38/2019_gene_for_polyprotein	ResIII	1800	1943	0.00053	20.2	Type III restriction enzyme, res subunit
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	6.2e-167	555.4	Pestivirus envelope glycoprotein E2
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.6e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	6.1e-96	320.0	Pestivirus NS2 peptidase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Peptidase_C53	0	168	1.2e-80	269.3	Pestivirus Npro endopeptidase C53
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	1.2e-80	269.3	Pestivirus Npro endopeptidase C53
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	4.7e-28	98.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Flav_NS3-hel_C	3039	3085	4.7e-28	98.1	Flavivirus NS3 helicase, C-terminal helical domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	RdRP_3	3459	3693	5.1e-25	88.4	Viral RNA dependent RNA polymerase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Capsid_pestivir	170	225	4.2e-24	84.5	Capsid protein C, pestivirus
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Flavi_DEAD	1806	1947	8.1e-10	39.1	Flavivirus DEAD domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Flavi_DEAD	1986	2010	8.1e-10	39.1	Flavivirus DEAD domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	DEAD	1812	1946	1.4e-09	38.2	DEAD/DEAH box helicase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	DEAD	1984	2041	1.4e-09	38.2	DEAD/DEAH box helicase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Helicase_C	1830	1867	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Helicase_C	1983	2099	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Helicase_C	3417	3456	2.9e-09	37.4	Helicase conserved C-terminal domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	RdRP_1	3518	3684	2.6e-08	33.3	Viral RNA-dependent RNA polymerase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	Flavi_NS5_thumb	3672	3742	0.00026	21.2	Flavivirus RNA-directed RNA polymerase, thumb domain
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	RdRP_4	3505	3637	0.00026	20.3	Viral RNA-directed RNA-polymerase
LC583590.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/39/2019_gene_for_polyprotein	ResIII	1800	1943	0.0005	20.3	Type III restriction enzyme, res subunit
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Pestivirus_E2	690	1060	7.8e-168	558.3	Pestivirus envelope glycoprotein E2
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Peptidase_S31	1589	1800	3.5e-136	451.7	Pestivirus NS3 polyprotein peptidase S31
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Peptidase_C74	1322	1522	5.2e-95	317.0	Pestivirus NS2 peptidase
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Peptidase_C53	0	168	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Peptidase_C53	3478	3493	2.1e-81	271.9	Pestivirus Npro endopeptidase C53
LC583591.1/1-11652/Classical_swine_fever_virus_CSFV/JPN/40/2019_gene_for_polyprotein	Flav_NS3-hel_C	2133	2274	5.4e-29	101.1	Flavivirus NS3 helicase, C-terminal helical domain
