Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
OM451127,Pangolin pestivirus 1,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-F1,Pangolin pestivirus 1,12141,partial,China,,Manis pentadactyla,,2020
OM451129,Pangolin pestivirus 2,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-MO4,Pangolin pestivirus 2,11920,partial,China,,Manis javanica,,2017
OM451130,Pangolin pestivirus 3,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-MO1,Pangolin pestivirus 3,12589,partial,China,,Manis javanica,,2019
OM451131,Pangolin pestivirus 3,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-MO6,Pangolin pestivirus 3,12469,partial,China,,Manis javanica,,2019
OM451132,Pangolin pestivirus 4,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-MO1,Pangolin pestivirus 4,12540,partial,China,,Manis javanica,,2019
OM451133,Pangolin pestivirus 4,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,ZJ-MO7,Pangolin pestivirus 4,12396,partial,China,,Manis javanica,,2019
OM451134,Bamboo rat pestivirus,GenBank,,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-09,HeN-NT1,Bamboo rat pestivirus,11352,partial,China,,Rhizomys pruinosus,,2020
MZ188972,Bovine viral diarrhea virus 1,GenBank,,"Wang,Y., Yan,S., Rui,P., Ma,Z., Song,T.","Hebei Normal University of Scicine and Technology, Hebei Key Laboratory of Perventive Veterinary Medicine",China,2022-03-07,,Pestivirus bovis,12215,complete,China: Hebei,,Bos taurus,,2020-04-24
OM480523,Bamboo rat pestivirus,GenBank,,"He,W.-T., Hou,X., Zhao,J.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-01,,Bamboo rat pestivirus,12159,partial,China,,Rhizomys pruinosus,,2020
OM480525,Pangolin pestivirus 1,GenBank,,"He,W.-T., Hou,X., Zhao,J.","Nanjing Agricultural University, College of Veterinary Medicine",China,2022-03-01,,Pangolin pestivirus 1,11375,partial,China,,Manis pentadactyla,,2019
OU592965,Zikole virus,GenBank,,"Hayer,J., Malmberg,M.","Swedish University of Agricultural Sciences, SGBC, Ulls vag 26, 75651",Sweden,2022-02-12,,Zikole virus,11655,partial,Uganda,,Bos taurus,blood,2018-12-18
OK272505,Phocoena pestivirus,GenBank,,"Stokholm,I., Fischer,N., Baechlein,C., Postel,A., Galatius,A., Kyhn,L.A., Thostesen,C.B., Persson,S., Siebert,U., Olsen,M.T., Becher,P., Wiedemann,A.","Institute of Virology, University of Veterinary Medicine, Foundation",Germany,2022-02-07,,Pestivirus M,11872,complete,Denmark: Zealand,,Phocoena phocoena,,2011
OL452246,Kioloa rodent pestivirus,GenBank,,"Gofton,A.W.","CSIRO, Health and Biosecurity",Australia,2022-01-31,SD7,Kioloa rodent pestivirus,12396,partial,Australia,,Rattus fuscipes,,2020-10-15
MW853924,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12157,complete,China,,Sus scrofa,,2018
MW853925,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12127,complete,China,,Sus scrofa,,2018
MW853926,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12200,complete,China,,Sus scrofa,,2018
MW853927,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12182,complete,China,,Sus scrofa,,2018
MW853928,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12363,complete,China,,Sus scrofa,,2018
MW853929,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12068,complete,China,,Sus scrofa,,2018
MW853930,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12079,complete,China,,Sus scrofa,,2018
MW853931,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12189,complete,China,,Sus scrofa,,2018
MW853932,Classical swine fever virus,GenBank,,"Yang,S., Zhang,W., He,Y., Chen,X., Zhang,D.","Jiangsu University, School of Medicine",China,2021-12-20,,Pestivirus suis,12109,complete,China,,Sus scrofa,,2018
MZ442301,Bovine viral diarrhea virus 1,GenBank,,"Holinka,L., Fish,I., Artz,J.","USDA/ARS, FADRU",USA,2021-11-22,ncpBVDV_LFPK-alphaVbeta6_PI,Pestivirus bovis,12166,partial,,,,,
MW054933,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12234,complete,Italy: Lazio,,,,2014
MW054934,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12246,complete,Italy: Lazio,,,blood,2005
MW054935,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12259,complete,Italy: Toscana,,,,2011
MW054936,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12177,complete,Italy: Umbria,,,,2006
MW054937,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12214,complete,Italy: Sardegna,,,fetus,2009
MW054938,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12222,complete,Italy: Sardegna,,,fetus,2009
MW054939,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12225,complete,Italy: Lombardia,,,,2009
MW054940,Bovine viral diarrhea virus 1,GenBank,,"Mosena,A.C., Neill,J.D., De Mia,G.M., Giammarioli,M., Rossi,E., Bazzucchi,M., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12231,complete,Italy: Marche,,,,2005
MW250796,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12273,complete,United Kingdom,,,,2008
MW250797,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12274,complete,United Kingdom,,,,2008
MW250798,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12307,complete,United Kingdom,,,,2008
MW250799,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12307,complete,United Kingdom,,,,2008
MW250800,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12257,complete,United Kingdom,,,,2008
MW250801,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12259,complete,United Kingdom,,,,2008
MW250802,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12236,complete,United Kingdom,,,,2008
MW250803,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Booth,R.E., Thomas,C.J., El-Attar,L.M.R., Gunn,G., Brownlie,J., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12274,complete,United Kingdom,,,,2008
MW655625,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12233,complete,Switzerland,,,blood,2004
MW655626,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12228,complete,Switzerland,,,blood,2004
MW655627,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12225,complete,Switzerland,,,blood,1995
MW655628,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12249,complete,Switzerland,,,blood,1995
MW655629,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12218,complete,Switzerland,,,blood,1990
MW655630,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12237,complete,Switzerland,,,blood,1996
MW655631,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12235,complete,Switzerland,,,blood,2003
MW655632,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12180,complete,Switzerland,,,mammalian milk,2002
MW713361,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M., Walz,P.H.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,11736,partial,USA,,,,2007
MW713362,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Falkenberg,S.M., Walz,P.H.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12312,complete,USA: Alabama,AL,,,2017
MW732738,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Walz,P.H., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,12076,complete,USA,,,,2015
MW732739,Bovine viral diarrhea virus 1,GenBank,,"Neill,J.D., Walz,P.H., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2021-11-08,,Pestivirus bovis,11969,complete,USA,,,"spleen, abdominal cavity",1993
MN527354,Bovine viral diarrhea virus 2,GenBank,,"LI,Y., Mao,L., Luo,X.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Key Laboratory of Veterinary Etiological Biology",China,2021-10-06,,Pestivirus tauri,12235,complete,USA,,Bos taurus,,2018-08-10
LC583562,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Gifu",,Sus scrofa domesticus,,2018-11-16
LC583563,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Minokamo",,Sus scrofa domesticus,,2018-12-04
LC583564,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Seki",,Sus scrofa domesticus,,2018-12-09
LC583565,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Kani",,Sus scrofa domesticus,,2018-12-15
LC583566,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Seki",,Sus scrofa domesticus,,2018-12-24
LC583567,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Kakamigahara",,Sus scrofa domesticus,,2019-01-28
LC583568,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Motosu",,Sus scrofa domesticus,,2019-01-29
LC583569,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Toyota",,Sus scrofa domesticus,,2019-02-06
LC583570,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-02-06
LC583571,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Ena",,Sus scrofa domesticus,,2019-02-06
LC583572,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Osaka,Higashiosaka",,Sus scrofa domesticus,,2019-02-06
LC583573,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Shiga,Ohmihachiman",,Sus scrofa domesticus,,2019-02-06
LC583574,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Nagano,Kamiina",,Sus scrofa domesticus,,2019-02-06
LC583575,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-02-13
LC583576,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-02-12
LC583577,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Mizunami",,Sus scrofa domesticus,,2019-02-19
LC583578,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa domesticus,,2019-03-07
LC583579,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa domesticus,,2019-03-23
LC583580,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Seto",,Sus scrofa domesticus,,2019-03-27
LC583581,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-03-28
LC583582,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Seto",,Sus scrofa domesticus,,2019-03-29
LC583583,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-03-29
LC583584,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Minokamo",,Sus scrofa domesticus,,2019-03-29
LC583585,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Ena",,Sus scrofa domesticus,,2019-04-09
LC583586,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Seto",,Sus scrofa domesticus,,2019-04-10
LC583587,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Ena",,Sus scrofa domesticus,,2019-04-17
LC583588,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-04-21
LC583589,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Seto",,Sus scrofa domesticus,,2019-04-22
LC583590,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Aichi,Tahara",,Sus scrofa domesticus,,2019-05-17
LC583591,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa domesticus,,2019-05-25
LC583592,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Yamagata",,Sus scrofa domesticus,,2019-06-05
LC583593,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Kakamigahara",,Sus scrofa,,2018-09-28
LC583594,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Kakamigahara",,Sus scrofa,,2018-09-29
LC583595,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Gifu",,Sus scrofa,,2018-10-03
LC583596,Classical swine fever virus,GenBank,,"Nishi,T., Fukai,K., Kato,T., Yamamoto,T., Sawai,K.","Division of Transboundary Animal Disease; 6-20-1 Jyosuihoncho, Kodaira, Tokyo 187-0022",Japan,2021-09-03,,Pestivirus suis,11826,partial,"Japan:Gifu,Kakamigahara",,Sus scrofa,,2018-10-04
